Transaction_ID,Date,Product_Category,Product_Name,Sales_Amount,Quantity,Unit_Price,Discount_Pct,Region,Sales_Rep,Payment_Method,Profit
TXN-1033,2024-05-22,Apparel,Waterproof Hiking Jacket,864.0,8,120.0,0.1,Northern,Amara Silva,Bank Transfer,254.78
TXN-1034,2024-05-18,Apparel,Waterproof Hiking Jacket,480.0,4,120.0,0.0,Western,Nimal Fernando,Credit Card,160.4
TXN-1035,2024-05-15,Electronics,Smartphone Pro X,5759.94,8,899.99,0.2,Central,Kasun Perera,Credit Card,476.08
TXN-1036,2024-03-01,Electronics,4K Ultra Gaming Monitor,559.2,2,349.5,0.2,Northern,Kasun Perera,Bank Transfer,165.25
TXN-1037,2024-06-17,Home & Kitchen,Non-Stick Cookware Set,71.96,1,89.95,0.2,Eastern,Rohan De Silva,Cash on Delivery,21.01
TXN-1038,2024-04-11,Apparel,Waterproof Hiking Jacket,432.0,4,120.0,0.1,Central,Nimal Fernando,PayPal,145.09
TXN-1039,2024-05-24,Apparel,Running Performance Shoes,190.0,2,95.0,0.0,Western,Kasun Perera,Bank Transfer,68.09
TXN-1040,2024-01-18,Home & Kitchen,Air Purifier HEPA Filter,617.45,5,129.99,0.05,Central,Nimal Fernando,Cash on Delivery,138.66
TXN-1041,2024-06-05,Electronics,4K Ultra Gaming Monitor,2236.8,8,349.5,0.2,Eastern,Kasun Perera,Cash on Delivery,305.58
TXN-1042,2024-01-28,Sports,Yoga Mat Premium,66.5,2,35.0,0.05,Eastern,Amara Silva,Cash on Delivery,24.3
TXN-1043,2024-06-11,Apparel,Waterproof Hiking Jacket,432.0,4,120.0,0.1,Southern,Rohan De Silva,PayPal,148.45
TXN-1044,2024-03-11,Apparel,Waterproof Hiking Jacket,120.0,1,120.0,0.0,Western,Kasun Perera,Cash on Delivery,38.78
TXN-1045,2024-05-21,Electronics,4K Ultra Gaming Monitor,1660.12,5,349.5,0.05,Northern,Rohan De Silva,Credit Card,439.93
TXN-1046,2024-04-04,Electronics,Wireless Noise-Cancel Headphones,379.98,2,199.99,0.05,Eastern,Rohan De Silva,Bank Transfer,116.35
TXN-1047,2024-01-11,Apparel,Cotton Casual Hoodie,135.0,3,45.0,0.0,Southern,Amara Silva,Bank Transfer,52.43
TXN-1048,2024-04-14,Sports,Yoga Mat Premium,63.0,2,35.0,0.1,Eastern,Amara Silva,Bank Transfer,13.58
TXN-1049,2024-03-26,Electronics,4K Ultra Gaming Monitor,891.23,3,349.5,0.15,Northern,Amara Silva,Cash on Delivery,309.36
TXN-1050,2024-04-30,Electronics,4K Ultra Gaming Monitor,594.15,2,349.5,0.15,Central,Amara Silva,PayPal,87.77
TXN-1051,2024-06-17,Apparel,Running Performance Shoes,451.25,5,95.0,0.05,Central,Dinithi Jayasinghe,Cash on Delivery,168.82
TXN-1052,2024-05-10,Apparel,Waterproof Hiking Jacket,216.0,2,120.0,0.1,Northern,Rohan De Silva,Cash on Delivery,67.14
TXN-1053,2024-03-08,Electronics,Smartphone Pro X,1619.98,2,899.99,0.1,Western,Kasun Perera,PayPal,565.71
TXN-1054,2024-05-10,Apparel,Running Performance Shoes,484.5,6,95.0,0.15,Western,Dinithi Jayasinghe,Bank Transfer,101.89
TXN-1055,2024-05-17,Apparel,Waterproof Hiking Jacket,102.0,1,120.0,0.15,Central,Nimal Fernando,PayPal,35.96
TXN-1056,2024-02-01,Electronics,Wireless Noise-Cancel Headphones,959.95,6,199.99,0.2,Southern,Rohan De Silva,Cash on Delivery,224.65
TXN-1057,2024-03-16,Sports,Yoga Mat Premium,220.5,7,35.0,0.1,Eastern,Amara Silva,Bank Transfer,66.03
TXN-1058,2024-03-18,Apparel,Cotton Casual Hoodie,299.25,7,45.0,0.05,Northern,Rohan De Silva,Credit Card,87.22
TXN-1059,2024-05-28,Apparel,Waterproof Hiking Jacket,570.0,5,120.0,0.05,Eastern,Nimal Fernando,PayPal,188.41
TXN-1060,2024-02-13,Home & Kitchen,Espresso Coffee Machine,1892.4,8,249.0,0.05,Western,Nimal Fernando,Cash on Delivery,593.15
