Expense_ID,Transaction_Date,Category,Vendor,Department,Amount,Payment_Type,Quarter,Approval_Status,Project_Code
EXP-2040,2024-01-16,Hardware Equipment,Dell Technologies Enterprise,IT Support,9739.28,Wire Transfer,Q1-2024,Pending,PRJ-108
EXP-2041,2024-06-20,Hardware Equipment,Dell Technologies Enterprise,IT Support,1333.99,Corporate Card,Q1-2024,Approved,PRJ-105
EXP-2042,2024-08-17,Office Supplies,Stationery & Consumables Co,Admin,5868.34,Wire Transfer,Q3-2024,Rejected,PRJ-102
EXP-2043,2024-07-11,Marketing & Ads,LinkedIn Talent & Ads,HR,6593.53,Wire Transfer,Q2-2024,Pending,PRJ-102
EXP-2044,2024-06-05,Office Supplies,Stationery & Consumables Co,Admin,6544.77,Corporate Card,Q3-2024,Pending,PRJ-102
EXP-2045,2024-03-18,Software Licenses,JetBrains & GitHub,Engineering,6620.18,ACH Invoice,Q3-2024,Approved,PRJ-102
EXP-2046,2024-12-02,Consulting & Legal,Deloitte Advisory,Executive,5465.57,ACH Invoice,Q4-2024,Approved,PRJ-106
EXP-2047,2024-03-22,Software Licenses,JetBrains & GitHub,Engineering,8774.3,Corporate Card,Q2-2024,Pending,PRJ-106
EXP-2048,2024-10-08,Office Supplies,Stationery & Consumables Co,Admin,1944.56,ACH Invoice,Q3-2024,Pending,PRJ-105
EXP-2049,2024-06-12,Cloud Infrastructure,AWS Cloud Services,Engineering,2911.14,Corporate Card,Q3-2024,Approved,PRJ-107
EXP-2050,2024-02-24,Software Licenses,JetBrains & GitHub,Engineering,2342.65,Corporate Card,Q1-2024,Rejected,PRJ-107
